143B	22Rv1	5637	697	786-O	A-253	A-375	A-673	A2780	A498	A549	AGS	ALL-SIL	AsPC-1	BC-3	BICR 31	BJAB	BL-41	BT-20	BT-474	BT-549	BeWo	BxPC-3	C-33 A	CA46	CAL 27	CAL 62	CAL-120	CAL-51	CAMA-1	CFPAC-1	CMK	COLO 320	COLO 320DM	COLO 741	COLO 800	COLO 829	COR-L311	Ca Ski	Caco-2	Caki-1	Caki-2	Calu-1	Calu-3	D283 Med	D341 Med	DMS 53	DND-41	DOHH-2	DU 145	Daoy	Detroit 562	EOL-1	EW-8	EWS502	FaDu	Farage	G-401	GRANTA-519	HAP1	HBEC3-KT	HCC1143	HCC1187	HCC1395	HCC1599	HCC1806	HCC1937	HCC1954	HCC2157	HCC2814	HCC70	HCC827	HCC95	HCT 116	HCT-15	HEC-1-A	HEC-1-B	HEK293-T-REx	HEL	HEL 92.1.7	HEYA8	HGC-27	HL-60	HOS	HPAF-II	HPB-ALL	HSC-4	HT	HT-1080	HT-29	HT-55	HaCaT	HeLa	Hep G2	Hs 578T	Hs 746.T	Hs 766T	HuCCT1	HuG1-N	HuH-6	HuH-7	IMR-32	J82	JHH-7	JHOS-4	JM1	JMSU1	JURL-MK1	Jurkat	K-562	KARPAS-299	KARPAS-422	KATO III	KELLY	KG-1	KMS-11	KMS-27	KMS-28BM	KNS-62	KO52	KP4	KU812	KURAMOCHI	KYSE-140	KYSE-150	KYSE-180	KYSE-410	KYSE-70	Kasumi-1	L-1236	L-428	LK-2	LN-229	LNCAP	LOX-IMVI	LP-1	LS-180	LoVo	Loucy	MCF 10A	MCF-7	MDA PCa 2b	MDA-MB-134-VI	MDA-MB-157	MDA-MB-175-VII	MDA-MB-231	MDA-MB-361	MDA-MB-435	MDA-MB-436	MDA-MB-453	MDA-MB-468	ME-180	MEG-01	MG-63	MHH-ES-1	MIA Paca-2	MKN-45	MKN-74	ML-2	MM.1S	MOLM-13	MOLT-4	MSTO-211H	MUTZ-3	MUTZ-5	MV-4-11	Mino	Mono-Mac-6	NALM-6	NAMALWA	NB-4	NCI-H1048	NCI-H1299	NCI-H1437	NCI-H1703	NCI-H1836	NCI-H1944	NCI-H1963	NCI-H1975	NCI-H2087	NCI-H209	NCI-H211	NCI-H2126	NCI-H2171	NCI-H23	NCI-H3122	NCI-H358	NCI-H441	NCI-H446	NCI-H460	NCI-H508	NCI-H510	NCI-H520	NCI-H524	NCI-H526	NCI-H660	NCI-H69	NCI-H82	NCI-H838	NCI-H889	NCI-H929	NCI-N87	NOMO-1	NTERA-2	OCI-AML2	OCI-AML3	OCI-LY-10	OCI-LY-19	OCI-LY-3	OCI-LY-7	ONS-76	OPM-2	OS-RC-2	OVCAR-3	OVCAR-5	OVCAR-8	OVSAHO	P31/FUJ	PA-TU-8988S	PANC-1	PC-3	PC-9	PEO1	PLC/PRF/5	Pfeiffer	RAJI	RAMOS	RC-K8	RCH-ACV	RD	RD-ES	REC-1	REH	RH-18	RH-30	RH-41	RKO	RL95-2	RMG-I	RPMI 8226	RPMI 8402	RT-112	RT4	SCC-25	SCC-9	SEM	SET-2	SF268	SH-SY5Y	SJSA-1	SK-BR-3	SK-ES-1	SK-HEP-1	SK-LMS-1	SK-MEL-28	SK-MEL-5	SK-N-AS	SK-N-BE(2)	SK-N-FI	SK-N-MC	SK-N-SH	SK-OV-3	SK-UT-1	SKM-1	SKNO-1	SNU-16	SNU-216	SNU-387	SNU-398	SNU-475	SNU-484	SU-DHL-1	SU-DHL-10	SU-DHL-4	SU-DHL-5	SU-DHL-6	SUIT-2	SUM 149PT	SUM 159PT	SUP-B15	SUP-T1	SW 1271	SW 1783	SW 1990	SW 480	SW 620	Saos-2	SiHa	T-47D	T.T	T24	T98G	TC-71	TE-10	TE-5	TF-1	THP-1	TMD8	TT	TTC-1240	U-251 MG	U-2932	U-87 MG	U-937	U2OS	UACC-257	UACC-62	UACC-812	UM-UC-1	UM-UC-3	UO-31	VCaP	WSU-DLCL2	ZR-75-1	ZR-75-30	hTERT RPE-1	hTERT-HME1
1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0
1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1
0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1
0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
